Id,Prediction
1,9
2,9
3,7
4,9
5,9
6,9
7,9
8,7
9,9
10,9
11,9
12,9
13,9
14,9
15,9
16,9
17,9
18,9
19,9
20,9
21,8
22,9
23,8
24,8
25,8
26,8
27,8
28,8
29,8
30,8
31,1
32,8
33,8
34,8
35,8
36,8
37,8
38,8
39,8
40,5
41,1
42,8
43,1
44,8
45,8
46,10
47,8
48,6
49,8
50,8
51,8
52,1
53,8
54,5
55,1
56,8
57,1
58,8
59,1
60,1
61,8
62,8
63,8
64,8
65,10
66,7
67,9
68,1
69,1
70,8
71,1
72,1
73,1
74,1
75,8
76,1
77,1
78,8
79,1
80,1
81,1
82,1
83,8
84,8
85,7
86,8
87,8
88,9
89,9
90,4
91,9
92,8
93,4
94,9
95,4
96,9
97,4
98,4
99,8
100,4
101,8
102,9
103,9
104,9
105,8
106,9
107,9
108,9
109,9
110,10
111,9
112,8
113,8
114,4
115,9
116,8
117,8
118,9
119,9
120,8
121,8
122,9
123,9
124,8
125,8
126,4
127,9
128,9
129,9
130,7
131,7
132,9
133,7
134,9
135,4
136,7
137,7
138,8
139,6
140,4
141,7
142,7
143,4
144,9
145,9
146,10
147,8
148,10
149,8
150,1
151,1
152,3
153,3
154,1
155,8
156,8
157,8
158,8
159,8
160,8
161,8
162,8
163,9
164,9
165,9
166,9
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,9
194,9
195,9
196,9
197,9
198,9
199,9
200,9
201,9
202,9
203,9
204,9
205,9
206,7
207,9
208,9
209,9
210,9
211,8
212,8
213,9
214,9
215,9
216,9
217,9
218,10
219,7
220,4
221,4
222,7
223,7
224,9
225,9
226,9
227,7
228,7
229,9
230,9
231,4
232,4
233,5
234,8
235,8
236,8
237,8
238,8
239,8
240,4
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,1
251,9
252,9
253,9
254,9
255,5
256,9
257,7
258,9
259,9
260,9
261,7
262,9
263,9
264,9
265,9
266,9
267,9
268,9
269,9
270,9
271,9
272,9
273,9
274,9
275,9
276,9
277,9
278,9
279,9
280,7
281,9
282,9
283,9
284,9
285,9
286,9
287,9
288,9
289,7
290,9
291,9
292,9
293,7
294,7
295,7
296,8
297,9
298,8
299,6
300,6
301,6
302,9
303,8
304,9
305,7
306,7
307,9
308,9
309,9
310,4
311,4
312,7
313,9
314,7
315,9
316,9
317,9
318,4
319,4
320,9
321,9
322,5
323,9
324,9
325,5
326,9
327,8
328,9
329,5
330,5
331,9
332,9
333,9
334,9
335,3
336,8
337,5
338,9
339,7
340,9
341,9
342,9
343,9
344,9
345,7
346,9
347,9
348,9
349,7
350,9
351,9
352,9
353,9
354,9
355,9
356,9
357,9
358,9
359,9
360,9
361,9
362,9
363,9
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,9
380,5
381,5
382,5
383,5
384,5
385,5
386,5
387,5
388,5
389,6
390,9
391,9
392,9
393,10
394,9
395,9
396,9
397,9
398,9
399,10
400,9
401,10
402,9
403,9
404,9
405,10
406,10
407,10
408,9
409,9
410,4
411,9
412,8
413,8
414,1
415,1
416,1
417,2
418,1
419,1
420,1
421,1
422,7
423,1
424,1
425,1
426,5
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,2
437,8
438,8
439,9
440,7
441,10
442,9
443,9
444,4
445,9
446,9
447,4
448,7
449,9
450,7
451,9
452,9
453,9
454,9
455,9
456,9
457,9
458,8
459,9
460,9
461,9
462,9
463,9
464,9
465,9
466,3
467,9
468,9
469,7
470,9
471,9
472,9
473,9
474,10
475,9
476,9
477,7
478,9
479,9
480,9
481,9
482,9
483,9
484,9
485,9
486,9
487,9
488,9
489,9
490,9
491,5
492,5
493,5
494,9
495,9
496,4
497,10
498,8
499,8
500,7
501,8
502,10
503,10
504,8
505,10
506,3
507,10
508,8
509,8
510,10
511,10
512,10
513,10
514,5
515,10
516,8
517,10
518,3
519,5
520,10
521,5
522,9
523,5
524,5
525,5
526,5
527,5
528,9
529,9
530,9
531,9
532,9
533,9
534,4
535,4
536,3
537,10
538,3
539,2
540,2
541,1
542,2
543,2
544,8
545,8
546,6
547,7
548,7
549,9
550,7
551,9
552,9
553,9
554,9
555,9
556,9
557,9
558,9
559,9
560,9
561,9
562,9
563,9
564,9
565,9
566,9
567,9
568,9
569,9
570,9
571,9
572,9
573,9
574,9
575,9
576,9
577,9
578,9
579,9
580,10
581,9
582,5
583,9
584,9
585,9
586,5
587,5
588,5
589,5
590,5
591,5
592,5
593,10
594,10
595,10
596,4
597,5
598,5
599,5
600,9
601,10
602,5
603,10
604,3
605,10
606,3
607,10
608,10
609,4
610,5
611,9
612,5
613,9
614,9
615,9
616,5
617,10
618,6
619,9
620,7
621,7
622,9
623,9
624,9
625,7
626,9
