Id,Prediction
1,7
2,7
3,7
4,7
5,9
6,9
7,9
8,9
9,9
10,2
11,2
12,9
13,9
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,3
22,3
23,1
24,1
25,1
26,1
27,8
28,2
29,3
30,8
31,2
32,8
33,8
34,8
35,1
36,8
37,1
38,6
39,10
40,6
41,3
42,3
43,8
44,6
45,1
46,3
47,10
48,3
49,3
50,3
51,3
52,1
53,3
54,10
55,3
56,3
57,8
58,8
59,8
60,8
61,8
62,8
63,3
64,10
65,10
66,7
67,4
68,3
69,4
70,8
71,8
72,5
73,3
74,3
75,1
76,5
77,8
78,1
79,3
80,2
81,3
82,3
83,2
84,3
85,8
86,4
87,8
88,7
89,5
90,7
91,7
92,4
93,2
94,2
95,2
96,4
97,4
98,4
99,2
100,4
101,4
102,4
103,4
104,4
105,4
106,10
107,4
108,10
109,4
110,4
111,4
112,4
113,2
114,3
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,10
129,4
130,10
131,10
132,4
133,4
134,10
135,10
136,4
137,4
138,4
139,4
140,10
141,10
142,3
143,4
144,3
145,3
146,10
147,3
148,8
149,8
150,3
151,3
152,8
153,3
154,3
155,3
156,3
157,3
158,3
159,8
160,3
161,3
162,4
163,7
164,7
165,6
166,6
167,9
168,9
169,9
170,9
171,9
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,9
194,9
195,9
196,9
197,9
198,9
199,9
200,9
201,9
202,9
203,9
204,6
205,9
206,7
207,10
208,10
209,4
210,2
211,3
212,6
213,7
214,7
215,6
216,6
217,4
218,10
219,10
220,4
221,9
222,2
223,10
224,10
225,5
226,10
227,10
228,10
229,4
230,7
231,2
232,8
233,3
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,3
252,3
253,4
254,5
255,5
256,5
257,5
258,7
259,7
260,7
261,6
262,7
263,7
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,7
290,7
291,5
292,7
293,2
294,4
295,4
296,4
297,2
298,4
299,2
300,4
301,2
302,2
303,2
304,3
305,10
306,2
307,4
308,4
309,4
310,10
311,5
312,5
313,5
314,5
315,5
316,5
317,5
318,10
319,5
320,5
321,10
322,10
323,5
324,5
325,10
326,1
327,3
328,5
329,5
330,5
331,4
332,6
333,4
334,7
