Id,Prediction
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,10
22,10
23,10
24,8
25,1
26,10
27,2
28,1
29,3
30,10
31,1
32,3
33,1
34,3
35,10
36,1
37,6
38,6
39,6
40,6
41,10
42,10
43,10
44,10
45,3
46,8
47,10
48,8
49,3
50,3
51,3
52,3
53,3
54,3
55,3
56,3
57,10
58,3
59,3
60,3
61,3
62,3
63,10
64,10
65,6
66,4
67,1
68,1
69,4
70,4
71,10
72,2
73,4
74,3
75,4
76,4
77,8
78,8
79,4
80,3
81,7
82,4
83,8
84,4
85,8
86,2
87,1
88,1
89,4
90,4
91,10
92,4
93,6
94,4
95,3
96,3
97,4
98,3
99,2
100,3
101,4
102,7
103,3
104,3
105,8
106,2
107,4
108,3
109,4
110,4
111,4
112,3
113,8
114,4
115,10
116,4
117,2
118,3
119,3
120,4
121,3
122,4
123,8
124,3
125,8
126,4
127,10
128,10
129,4
130,2
131,4
132,10
133,4
134,2
135,4
136,4
137,4
138,4
139,10
140,10
141,3
142,4
143,4
144,4
145,4
146,8
147,8
148,4
149,1
150,4
151,2
152,2
153,1
154,1
155,3
156,1
157,3
158,3
159,8
160,8
161,8
162,8
163,7
164,7
165,6
166,7
167,6
168,9
169,9
170,6
171,6
172,9
173,9
174,9
175,9
176,9
177,9
178,9
179,7
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,6
190,9
191,9
192,9
193,7
194,7
195,7
196,9
197,9
198,9
199,9
200,9
201,9
202,9
203,6
204,9
205,6
206,2
207,10
208,10
209,4
210,2
211,10
212,10
213,4
214,4
215,4
216,4
217,4
218,4
219,4
220,4
221,4
222,7
223,4
224,3
225,4
226,3
227,4
228,7
229,2
230,4
231,2
232,2
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,8
252,10
253,10
254,5
255,5
256,10
257,7
258,4
259,9
260,7
261,7
262,7
263,7
264,7
265,7
266,7
267,7
268,7
269,7
270,7
271,7
272,7
273,7
274,7
275,7
276,7
277,7
278,7
279,7
280,7
281,7
282,7
283,7
284,7
285,7
286,7
287,7
288,7
289,6
290,6
291,10
292,10
293,10
294,4
295,4
296,2
297,4
298,2
299,3
300,2
301,2
302,3
303,3
304,2
305,4
306,2
307,10
308,4
309,10
310,5
311,10
312,5
313,5
314,5
315,5
316,5
317,5
318,10
319,4
320,5
321,5
322,6
323,5
324,10
325,4
326,5
327,4
328,5
329,5
330,5
331,4
332,10
333,6
334,5
