Id,Prediction
1,6
2,7
3,9
4,9
5,7
6,7
7,7
8,7
9,7
10,7
11,7
12,7
13,7
14,7
15,7
16,7
17,7
18,7
19,7
20,7
21,6
22,8
23,2
24,8
25,2
26,2
27,2
28,2
29,8
30,8
31,2
32,8
33,8
34,8
35,8
36,2
37,8
38,6
39,6
40,6
41,3
42,3
43,8
44,3
45,2
46,3
47,3
48,3
49,3
50,3
51,3
52,3
53,3
54,3
55,8
56,3
57,8
58,8
59,1
60,8
61,1
62,3
63,1
64,6
65,10
66,4
67,10
68,8
69,10
70,8
71,8
72,2
73,2
74,2
75,3
76,1
77,1
78,1
79,3
80,8
81,8
82,8
83,8
84,8
85,8
86,10
87,8
88,10
89,4
90,10
91,10
92,10
93,10
94,8
95,3
96,3
97,4
98,4
99,4
100,2
101,6
102,4
103,4
104,4
105,4
106,4
107,4
108,4
109,4
110,4
111,4
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,4
122,4
123,4
124,4
125,4
126,4
127,4
128,10
129,10
130,10
131,10
132,10
133,10
134,10
135,4
136,10
137,10
138,10
139,10
140,4
141,4
142,10
143,4
144,4
145,4
146,8
147,8
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,8
161,8
162,4
163,9
164,9
165,9
166,9
167,6
168,9
169,6
170,6
171,9
172,9
173,6
174,9
175,9
176,9
177,9
178,9
179,9
180,9
181,9
182,9
183,9
184,9
185,9
186,9
187,9
188,9
189,9
190,9
191,9
192,9
193,7
194,9
195,9
196,9
197,9
198,9
199,7
200,9
201,9
202,9
203,9
204,9
205,7
206,10
207,10
208,10
209,10
210,4
211,10
212,4
213,10
214,10
215,4
216,10
217,10
218,4
219,4
220,4
221,10
222,10
223,4
224,10
225,10
226,10
227,10
228,10
229,10
230,10
231,10
232,10
233,8
234,8
235,8
236,8
237,8
238,8
239,8
240,8
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,8
250,8
251,3
252,6
253,4
254,4
255,4
256,5
257,7
258,9
259,9
260,9
261,7
262,9
263,9
264,9
265,7
266,7
267,9
268,7
269,7
270,7
271,7
272,7
273,9
274,9
275,7
276,7
277,7
278,7
279,9
280,7
281,9
282,9
283,7
284,9
285,9
286,9
287,9
288,7
289,7
290,7
291,10
292,4
293,10
294,10
295,4
296,10
297,10
298,10
299,2
300,10
301,2
302,2
303,2
304,2
305,10
306,4
307,4
308,7
309,4
310,5
311,5
312,5
313,5
314,4
315,4
316,4
317,10
318,10
319,10
320,5
321,5
322,5
323,4
324,7
325,10
326,4
327,4
328,4
329,10
330,10
331,5
332,5
333,10
334,10
335,4
336,4
337,7
338,9
339,7
340,6
341,6
342,6
343,6
344,6
345,6
346,9
347,9
348,7
349,9
350,6
351,6
352,6
353,9
354,7
355,6
356,9
357,9
358,7
359,7
360,9
361,9
362,9
363,9
364,5
365,5
366,5
367,5
368,5
369,5
370,5
371,5
372,5
373,5
374,5
375,5
376,5
377,5
378,5
379,5
380,5
381,5
382,5
383,5
384,5
385,6
386,5
387,5
388,6
389,7
390,7
391,7
392,7
393,7
394,7
395,7
396,7
397,7
398,9
399,9
400,9
401,9
402,6
403,9
404,7
405,2
406,7
407,2
408,9
409,7
410,9
411,9
412,9
413,8
414,8
415,8
416,8
417,1
418,8
419,8
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,8
438,1
439,7
440,7
441,9
442,10
443,6
444,9
445,4
446,6
447,4
448,8
449,4
450,8
451,2
452,6
453,2
454,8
455,8
456,8
457,8
458,8
459,2
460,8
461,8
462,8
463,8
464,7
465,7
466,9
467,4
468,7
469,10
470,7
471,2
472,2
473,10
474,4
475,10
